,def_season,def_team,def_special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_safeties,def_misc_yards,def_fumble_recovery_opp,def_fumble_recovery_yards_opp,def_fumble_recovery_tds,def_punt_returns,def_punt_return_yards,def_kickoff_returns,def_kickoff_return_yards
210,2020,LV,0,639,43,301,50,177,8,21,129,77,10,156,74,0,0,32,5,5,0,23,265,22,418
211,2020,MIA,1,592,57,343,62,343,16,41,349,99,18,146,76,0,0,0,10,10,2,32,354,12,215
212,2020,MIN,0,630,44,400,45,181,11,23,126,70,15,65,56,0,1,10,7,7,0,16,69,33,722
213,2020,NE,2,573,123,349,38,169,5,24,165,65,18,162,52,1,0,44,4,4,1,23,357,31,717
214,2020,NO,0,609,15,279,74,341,7,44,284,113,18,196,84,1,1,0,8,8,0,39,399,30,761
215,2020,NYG,0,639,62,404,63,339,14,40,323,108,11,101,75,1,0,0,11,11,1,20,228,36,788
216,2020,NYJ,0,659,70,380,59,250,17,31,186,84,10,134,67,1,1,25,9,9,0,10,86,41,811
217,2020,PHI,1,696,45,347,82,351,14,49,324,115,8,101,43,1,1,0,11,12,2,26,230,31,648
218,2020,PIT,0,628,73,273,93,419,13,56,384,137,18,169,84,3,1,0,9,9,0,37,356,29,670
219,2020,SEA,0,705,27,329,84,323,14,46,251,109,14,106,80,0,3,0,8,8,0,22,189,28,629
220,2020,SF,0,624,42,306,58,272,13,30,199,72,12,123,62,1,0,0,8,8,0,25,226,27,520
221,2020,TB,0,644,31,301,84,420,15,48,366,116,15,171,70,1,1,4,10,10,0,30,176,25,546
222,2020,TEN,1,640,89,347,50,233,12,19,154,72,15,189,81,0,0,0,8,8,2,23,208,38,767
223,2020,WAS,0,619,26,342,73,373,14,46,314,97,16,136,66,2,1,0,7,7,1,31,176,31,645
224,2021,ARI,0,623,80,358,64,259,21,40,227,101,13,247,73,1,0,0,14,14,1,26,238,29,611
